%FFID	CHAN	SOU_X	SOU_Y	REC_Y	REC_X	PICK2	SOU_STAT
1	1	512740.19000	4198306.82000	4198300.62000	512739.43000	9993.15039	9999.00000
1	2	512740.19000	4198306.82000	4198299.63000	512739.31000	2.41306	44.90000
1	3	512740.19000	4198306.82000	4198298.63000	512739.19000	-1.31772	44.90000
1	4	512740.19000	4198306.82000	4198297.64000	512739.06000	4.14571	44.10000
1	5	512740.19000	4198306.82000	4198296.65000	512738.94000	4.80833	18.50000
1	6	512740.19000	4198306.82000	4198295.66000	512738.82000	5.57095	45.40000
1	7	512740.19000	4198306.82000	4198294.66000	512738.70000	5.64016	61.50000
1	8	512740.19000	4198306.82000	4198293.67000	512738.58000	7.00279	45.30000
2	1	512740.13000	4198306.83000	4198300.62000	512739.37000	9993.15723	9999.00000
2	2	512740.13000	4198306.83000	4198299.63000	512739.25000	1.81965	44.70000
2	3	512740.13000	4198306.83000	4198298.64000	512739.13000	-1.41772	44.40000
2	4	512740.13000	4198306.83000	4198297.64000	512739.01000	3.45149	44.20000
2	5	512740.13000	4198306.83000	4198296.65000	512738.89000	4.31411	45.20000
2	6	512740.13000	4198306.83000	4198295.66000	512738.77000	4.97674	45.40000
2	7	512740.13000	4198306.83000	4198294.67000	512738.64000	4.94016	45.50000
2	8	512740.13000	4198306.83000	4198293.67000	512738.52000	6.20938	45.50000
3	1	512740.21000	4198306.90000	4198300.69000	512739.45000	9993.15723	9999.00000
3	2	512740.21000	4198306.90000	4198299.70000	512739.33000	1.31965	44.60000
3	3	512740.21000	4198306.90000	4198298.71000	512739.21000	-1.51772	44.80000
3	4	512740.21000	4198306.90000	4198297.71000	512739.09000	2.75149	44.20000
3	5	512740.21000	4198306.90000	4198296.72000	512738.97000	3.71411	45.60000
3	6	512740.21000	4198306.90000	4198295.73000	512738.85000	4.37674	45.20000
3	7	512740.21000	4198306.90000	4198294.74000	512738.73000	4.23936	45.10000
3	8	512740.21000	4198306.90000	4198293.74000	512738.60000	5.30938	45.30000
4	1	512740.11000	4198306.89000	4198300.68000	512739.35000	9993.15723	9999.00000
4	2	512740.11000	4198306.89000	4198299.69000	512739.23000	0.719654	44.50000
4	3	512740.11000	4198306.89000	4198298.70000	512739.11000	-1.61772	44.70000
4	4	512740.11000	4198306.89000	4198297.71000	512738.99000	2.04490	44.10000
4	5	512740.11000	4198306.89000	4198296.71000	512738.87000	3.11411	44.90000
4	6	512740.11000	4198306.89000	4198295.72000	512738.75000	3.77674	45.10000
4	7	512740.11000	4198306.89000	4198294.73000	512738.62000	3.64016	45.00000
4	8	512740.11000	4198306.89000	4198293.74000	512738.50000	4.50279	45.20000
5	1	512740.13000	4198306.81000	4198300.60000	512739.38000	9993.15625	9999.00000
5	2	512740.13000	4198306.81000	4198299.61000	512739.26000	0.118852	44.30000
5	3	512740.13000	4198306.81000	4198298.62000	512739.13000	-1.61772	44.20000
5	4	512740.13000	4198306.81000	4198297.63000	512739.01000	1.24490	44.00000
5	5	512740.13000	4198306.81000	4198296.63000	512738.89000	2.51411	44.70000
5	6	512740.13000	4198306.81000	4198295.64000	512738.77000	3.17674	45.20000
5	7	512740.13000	4198306.81000	4198294.65000	512738.65000	2.93936	45.30000
5	8	512740.13000	4198306.81000	4198293.66000	512738.53000	3.60198	45.00000
6	1	512740.10000	4198306.81000	4198300.61000	512739.34000	9993.15039	9999.00000
6	2	512740.10000	4198306.81000	4198299.62000	512739.22000	-0.486942	44.30000
6	3	512740.10000	4198306.81000	4198298.62000	512739.10000	-1.71773	44.10000
6	4	512740.10000	4198306.81000	4198297.63000	512738.98000	0.544897	44.00000
6	5	512740.10000	4198306.81000	4198296.64000	512738.86000	2.00752	44.70000
6	6	512740.10000	4198306.81000	4198295.64000	512738.74000	2.57674	44.90000
6	7	512740.10000	4198306.81000	4198294.65000	512738.62000	2.23936	45.00000
6	8	512740.10000	4198306.81000	4198293.66000	512738.49000	2.80279	45.00000
7	1	512740.01000	4198306.85000	4198300.65000	512739.25000	9993.15039	9999.00000
7	2	512740.01000	4198306.85000	4198299.66000	512739.13000	-0.986942	44.20000
